# chipmunk, between 04/2009 and 10/2009
#
#
# Using GF2   (gf2x, bug corrected, full pre-modcomp, 10/2009)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
19	165.949	165.793	6.41502	26.297	389.971	29.8195	63	1.09029	2.26346
23	165.518	165.53	6.39403	26.25	389.435	29.7405	22	1.22118	2.25961
29	166.997	176.067	6.81796	27.9368	398.992	30.0594	45	1.83823	2.36089
31	175.973	167.325	6.46102	26.605	393.95	30.0644	28	1.96849	2.28506
37	167.596	167.373	6.46502	26.513	394.929	30.3024	81	2.56634	2.28584	# Isogeny not found
41	518.343	512.7	114.283	109.55	1616.35	390.833	65	2.63494	20.5325
43	519.031	517.837	26.04	111.169	1629.18	389.53	87	2.9268	20.5258
53	509.662	509.941	25.3072	110.864	1519.49	355.99	243	3.94103	20.5206	# Isogeny not found
59	516.575	513.812	25.2772	109.066	1496.38	355.287	217	4.5406	20.4711
61	509.266	509.248	25.2262	108.854	1504.39	359.247	18	4.80638	20.5523
67	512.344	515.759	25.7121	110.668	1494.6	356.133	27	5.40296	20.4813
71	509.908	509.466	25.3341	109.115	1488.97	354.992	74	5.81086	20.4489
73	509.589	509.777	25.2652	108.794	1489.19	363.733	66	6.06923	20.5191
79	509.851	509.22	25.2452	108.96	1495.98	355.572	28	6.7599	20.497
83	509.498	509.76	25.2922	110.297	1490.78	355.022	190	6.73932	20.4789
89	509.76	510.15	25.2602	108.874	1491.06	356.45	66	7.58262	20.5162
97	512.136	519.656	25.7381	110.869	1533.18	357.152	243	8.32053	20.5365	# Isogeny not found
113	567.513	507.7	114.488	112.335	1473.4	352.693	101	10.4299	20.3266
139	1924.21	1906.96	491.972	432.876	3814.14	2702.43	185	13.6313	186.456
179	2045.46	2045.95	108.667	464.279	4064.27	2911.28	714	18.7342	185.089
223	1963.24	2146.15	114.854	489.506	4279.6	3061.61	211	25.4552	185.388
283	2130.97	2148.05	114.887	489.599	4303.09	3045.99	496	33.3682	191.838
367	6125.17	6197.93	1479.9	1734.2	14259	30943.1	521	44.6889	1628.83
